SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2020,R13000,ìåãûìs,14047594,6898388,7149206,13233213,6492413,6740800,1566840,801834,765006,8944193,4523724,4420469,3107822,1345871,1761951,99661,51169,48492,1.12,121219,63512,57707,401168,211150,190018,362794,197184,165610,73931,20783,16.5,34.1,3.7,108,1590,43508,12414511,3620,202260,378100,2145600,984,11202,144095,1328,35618,619291,803,19736,304405,98235,93066,428,19254,306302,98943,68181,37,143,753,52713,10450,673683,4669,691,160260,15121,404,157,149579,22912,299298,1632266,1877881,51928,36076,240890,28915890,4167870,133175,15594,65823,50770,8176225,1761718,3747985,2611171,4242734.0,839,24.2,588,13889,10642,3370,306055,2343,287079,55075,325010,92079,30206,21596,13502,12070,18417,33290,19338,31559,52953
2019,R13000,ìåãûìs,14007000,6889000,7118000,13442000,6612000,6830000,1553000,794000,760000,9158000,4663000,4496000,3209000,1389000,1820000,101818,52032,49786,1.15,120870,63222,57648,427307,222462,204845,340732,184521,156211,86059,22707,16.5,32.8,1.4,111,1874,47424,13951235,3308,188775,374300,2157900,985,11167,150270,1331,35103,614873,804,19524,300377,100463,95647,429,19265,310355,100178,66643,37,140,792,52097,11544,671221,5535,736,156932,14205,405,156,148394,26364,290694,1399719,2586510,77407,54230,764687,72456800,27958830,135619,15748,64352,54413,8702367,1786721,4039796,2781571,4407607.0,871,22.3,589,13707,10670,3114,308527,3690,279024,53881,332517,89185,26350,21419,11828,14291,16227,36886,19935,37702,58695
2018,R13000,ìåãûìs,13887000,6835000,7053000,13368000,6581000,6787000,1550000,792000,758000,9084000,4630000,4453000,3189000,1380000,1808000,107150,55052,52098,1.20,119253,62466,56787,423617,220246,203371,340843,185815,155028,82716,22706,16.8,32.7,0.6,103,1445.5,49410,13919657,2435,175273,354600,1961400,991,11091,154423,1332,34568,609512,804,19301,300085,102161,97646,429,19333,314385,101723,66150,37,138,788,51931,12657,669191,5545,765,155020,14399,405,156,146364,26605,302637,1421774,2706980,90193,65740,736196,61188190,22320850,148382,16121,72899,58338,9150019,1833239,4350875,2888916,4383468.0,875,21.6,598,13429,10672,2856,273598,5414,250244,47491,326229,87282,27129,21499,10060,13977,16265,34195,22152,35322,58349
2017,R13000,ìåãûìs,13768000,6782000,6985000,13293000,6550000,6742000,1542000,788000,754000,9021000,4605000,4417000,3160000,1368000,1793000,108990,55818,53172,1.21,116451,61471,54980,419283,218753,200530,343785,187715,156070,84991,23055,15.8,31.8,1.7,95,1430,47297,14619926,2024,169224,342600,1824500,995,11120,157418,1335,34036,601414,807,19471,304199,102257,98452,429,19340,316903,101782,65814,38,138,834,51214,13406,665984,6172,1057,154073,14765,403,154,145719,24696,326193,1505384,2743679,99432,71673,706090,55810370,19185930,141935,15301,71261,54725,8652536,1752972,4059993,2783052,4417184.0,888,21.9,597,13257,10632,2414,235571,8586,226588,40286,333072,86412,26131,21059,12732,14819,16237,33565,20301,37046,64771
2016,R13000,ìåãûìs,13646000,6728000,6918000,13216000,6520000,6697000,1535000,784000,751000,8969000,4583000,4386000,3120000,1350000,1771000,111962,57359,54603,1.24,113415,59824,53591,413444,218211,195233,339267,185944,153323,86009,23470,16.4,31.6,1.8,113,1779,48868,16148737,1939,154859,332800,1699300,1004,11191,161275,1339,33414,594053,808,19387,306820,103274,99640,429,19259,318447,102326,67416,38,137,843,51115,14241,659782,6432,1123,152640,14955,402,152,145607,24038,342829,1572540,2725410,107565,76500,663081,51861940,16457420,153621,16309,75183,61640,9762017,1894326,4818825,3011526,4428042.0,897,22.1,601,13184,10658,2234,219392,8466,212963,37125,321147,84980,27212,20669,11039,14572,14951,32043,18794,35661,61225
2015,R13000,ìåãûìs,13515271,6666690,6848581,12948463,6388206,6560257,1518130,776017,742113,8734155,4448525,4285630,3005516,1301249,1704267,113194,58192,55002,1.24,111673,59164,52509,426084,225877,200207,344388,189163,155225,87167,24135,16.4,30.5,1.8,115,1781.5,49152,14442309,1891,149286,323800,1551400,1010,11099,165348,1351,33191,592158,815,19586,310874,104543,101314,429,19242,316933,100422,66741,39,137,870,50497,14909,654383,6668,1280,151441,14679,404,155,144909,22068,365812,1695737,2584202,115762,85402,565916,52983860,16076970,141862,16582,65538,58938,9073954,1964290,4350305,2712085,4501160.0,918,22.4,598,12944,10620,2111,209802,7814,205280,35349,331229,84843,27287,23340,10841,15841,14967,33797,19518,36931,63863
2014,R13000,ìåãûìs,13399000,6612000,6788000,13049000,6447000,6602000,1517000,776000,741000,8862000,4531000,4331000,3011000,1301000,1710000,110629,56541,54088,1.15,111023,58865,52158,404736,214691,190045,331456,181607,149849,87000,23653,16.6,31.2,2.5,106,1808,50685,15165430,1869,143848,317000,1445700,1023,11167,170673,1355,32658,587983,817,19491,311841,104164,101068,431,19059,316058,100635,67159,43,139,919,50040,15568,651905,7070,1310,151880,15171,409,157,144840,22233,395492,1809922,2448814,120679,89276,531802,49755350,12521400,140430,17348,59921,61170,9432825,2032318,4745549,2524946,4513509.0,931,22.8,592,12780,10579,1868,188319,8672,188888,31994,324999,82178,26834,23744,11710,15671,15648,35849,13984,38221,61161
2013,R13000,ìåãûìs,13307000,6569000,6738000,12983000,6419000,6563000,1503000,769000,735000,8883000,4543000,4340000,2914000,1255000,1659000,109986,56267,53719,1.13,110507,58810,51697,407711,217183,190528,337539,184940,152599,88067,24855,17.1,33.2,1.8,93,1614,55325,15337434,1884,142065,309700,1378000,1039,11181,172467,1358,32335,585535,818,19406,312764,104787,101797,431,19009,312683,98535,65050,43,139,958,49187,16737,653092,7694,1603,152251,15496,413,161,144189,22185,419481,1965147,2320113,122200,89971,525067,47107640,9448940,147978,21352,62188,62933,10320658,2506875,5002901,2709862,4572285.0,949,23.2,595,12758,10647,1774,179313,8117,181205,30676,333331,81466,29883,23658,11189,15704,15282,34475,17359,38541,65772
2012,R13000,ìåãûìs,13234000,6538000,6697000,12918000,6392000,6526000,1494000,764000,730000,8924000,4565000,4358000,2812000,1206000,1606000,107401,54985,52416,1.09,109194,58203,50991,400274,214231,186043,343777,188358,155419,89301,25329,16.3,33.1,1.8,109,1570,52076,15642018,1914,140646,308100,1377600,1042,11120,173642,1363,32246,586412,819,19209,311758,103446,100389,432,18951,315341,101970,66405,44,138,1034,48857,18315,643163,8411,1653,149914,15392,419,163,141989,22563,458578,2133928,2072218,124423,89832,599251,44271200,7918960,141316,19875,54177,66226,10073903,2311735,5274518,2414948,4581633.0,956,22.9,590,12711,10620,1782,179537,7257,180706,30436,318910,79991,24679,23341,10839,15055,15518,32808,18663,35378,62640
2011,R13000,ìåãûìs,13198000,6524000,6674000,12870000,6373000,6497000,1491000,762000,728000,8992000,4602000,4390000,2713000,1159000,1554000,106027,54333,51694,1.06,105723,56613,49110,394116,210566,183550,349634,191201,158433,86888,24927,16.5,31.2,1.5,95,1479.5,49438,14251015,1944,140891,309200,1391700,1051,11122,171769,1367,31877,592192,819,19055,311982,104071,100878,434,18750,313870,98500,64724,46,139,1100,48616,19858,642914,8981,1634,150834,15925,431,168,142547,23029,524406,2363894,1791148,123178,88823,633272,37736780,5323080,133589,18976,50945,62521,9594236,2225624,5052714,2226133,4608412.0,992,22.8,592,12612,10570,1644,166661,7855,166471,28178,313651,78848,23707,21154,10323,14231,15455,32833,20077,35972,61051
2010,R13000,ìåãûìs,13159388,6512110,6647278,12623619,6253238,6370381,1477371,755778,721593,8850225,4521231,4328994,2642231,1131503,1510728,108135,55420,52715,1.12,104238,56443,47795,396318,211886,184432,347987,192563,155424,91196,26335,16.9,33.5,3.0,111,1679.5,48642,14241236,1972,138436,312700,1440800,1057,11123,171273,1370,31447,595669,822,18749,309247,102110,98860,435,18672,313280,97284,63629,49,138,1158,47911,21165,639467,9568,1776,147417,17830,446,171,141767,28285,566605,2584327,1515917,119071,86213,671634,41911630,8720480,123996,19894,48535,55038,9048058,2353556,4501646,2154569,4650318.0,1008,23.5,593,12684,10603,1655,166217,8435,167075,27860,331920,79864,27459,22405,10821,16413,15452,32939,20534,41901,64133
2009,R13000,ìåãûìs,13048000,6471000,6577000,12746000,6329000,6416000,1526000,783000,744000,8658000,4444000,4213000,2685000,1176000,1509000,106613,54736,51877,1.12,98304,53549,44755,413370,225311,188059,357150,198977,158173,91028,26803,16.7,30.1,3.5,105,1801.5,42479,13583339,1959,136008,323300,1551400,1064,11106,172019,1373,31077,594326,817,18690,311305,105682,102319,438,18569,308375,97244,63500,50,136,1240,47020,22711,627259,10412,1951,141399,17303,449,173,140875,29385,589375,2630961,1286003,115894,84216,658226,34527190,6377700,104455,18801,49415,33225,7271364,2235773,2738277,2143726,4756639.0,1029,23.4,594,12629,10540,1658,165332,7939,166628,27395,326258,80873,24503,21496,10687,16035,15559,33260,18495,38998,66352
2020,R14000,ê_ìﬁêÏåß,9237337,4588268,4649069,8876834,4406356,4470478,1085763,556579,529184,5628918,2890461,2738457,2308578,1025663,1282915,60865,31276,29589,1.26,84601,45362,39239,213490,116659,96831,188541,105403,83138,39641,13509,17.0,33.7,4.7,108,1687.5,33564,7811637,1349,57184,179300,590300,634,7841,103613,887,26069,454751,473,14652,224709,73540,69350,231,12993,200230,65293,41154,14,31,338,5488,5754,174710,2596,191,34924,3761,108,12,27979,3508,162195,832027,615641,17567,20239,132184,12290040,514520,61589,13550,22780,25089,4520615,1545398,2003706,960230,2819079.0,837,24.9,289,6907,4959,1941,165323,496,159800,24907,295913,84137,23113,21477,13281,9093,18723,33451,15685,28787,48166
2019,R14000,ê_ìﬁêÏåß,9224000,4589000,4635000,9004000,4481000,4523000,1099000,563000,536000,5771000,2985000,2786000,2329000,1037000,1291000,63035,32367,30668,1.28,83968,44768,39200,214726,116340,98386,190875,106343,84532,45922,14890,16.9,32.7,2.9,111,1937,38708,8435889,1341,55024,179500,583000,645,7880,109053,889,25889,459003,476,14575,223830,75417,71362,235,12979,203674,65684,39958,14,30,340,5378,6120,177372,2664,168,35022,3352,108,12,27445,3493,155323,723534,767229,23310,27268,415424,19981840,2956530,70598,14506,27195,28580,5245160,1653014,2410932,1167014,2856077.0,848,24.1,289,6820,4948,1855,152564,750,141983,22703,307594,82908,19411,20405,10914,13015,16267,42400,14446,33373,54454
2018,R14000,ê_ìﬁêÏåß,9197000,4579000,4618000,8999000,4484000,4515000,1111000,569000,542000,5761000,2979000,2782000,2305000,1028000,1277000,66564,34335,32229,1.33,82336,43899,38437,212423,115360,97063,193557,107755,85802,45079,14943,17.1,32.2,2.1,104,1573.5,37972,8258593,1341,51525,177800,551600,653,7955,113738,888,25536,461304,477,14547,225555,77128,73269,235,12936,206716,66605,40384,14,30,347,5403,6326,180033,2730,154,36095,3517,108,12,26540,3387,160804,734732,819058,26986,31067,401902,18440910,2471030,73462,13782,28257,31312,5363705,1580939,2647745,1130903,2834103.0,845,24.3,293,6739,4933,1761,150202,864,141156,22326,301237,80546,26314,19378,10317,12632,15928,32826,14144,31101,58051
2017,R14000,ê_ìﬁêÏåß,9173000,4571000,4602000,8994000,4486000,4508000,1122000,574000,548000,5763000,2979000,2784000,2274000,1015000,1258000,68131,34788,33343,1.34,80352,43285,37067,207941,113252,94689,194786,108864,85922,46274,15370,16.3,31.2,3.1,97,1628.5,39070,8406943,1341,50275,176200,522100,667,8059,118478,887,25328,461553,476,14620,229641,77611,74126,235,12883,207864,66239,40369,15,32,346,5448,6509,179846,2826,168,35652,3772,110,12,26552,3274,172678,772339,830324,30208,34557,389500,17061720,2132020,74756,14006,31665,28738,5409102,1615624,2488769,1285423,2873102.0,858,24.4,291,6661,4915,1524,129604,756,130844,21236,332034,85457,18750,20075,12662,14681,16228,45332,16578,39351,62921
2016,R14000,ê_ìﬁêÏåß,9152000,4566000,4585000,8988000,4489000,4499000,1135000,581000,554000,5778000,2987000,2791000,2232000,997000,1234000,70648,36257,34391,1.36,77361,41519,35842,205368,112883,92485,193312,108956,84356,46695,15673,16.9,31.3,3.4,116,1969.5,39568,8230567,1362,49915,174500,493900,676,8095,124045,888,25067,462880,475,14631,232971,78659,75216,235,12779,208172,66400,40674,15,31,347,5360,6657,179410,2924,183,35754,3806,110,13,26562,3231,184558,817380,765309,32530,37556,370171,16482910,2081890,77303,15021,32203,29512,5629324,1738993,2558895,1308281,2913221.0,872,24.8,294,6711,4989,1457,125916,497,126825,20132,325377,84424,18414,20000,9829,14613,16215,41694,15725,36670,67794
2015,R14000,ê_ìﬁêÏåß,9126214,4558978,4567236,8887304,4437047,4450257,1140748,583535,557213,5744383,2961819,2782564,2158157,964254,1193903,73475,37758,35717,1.39,75762,40969,34793,210995,115930,95065,197467,111884,85583,48263,16234,16.7,30.2,2.7,119,1836,37956,8012141,1387,49184,173700,436600,688,8217,129500,889,25081,466464,476,14669,235344,79314,75961,235,12589,206616,65311,40139,16,30,362,5283,6949,179100,3097,297,35224,3684,111,14,25897,3174,197482,878971,750765,35087,40239,322424,16449920,2088100,71516,14876,28223,28298,5280424,1731180,2352325,1189458,2954371.0,884,25.2,294,6648,4951,1354,118557,625,119199,18785,313762,83082,21951,23215,11904,14253,14211,31818,18130,36446,58752
2014,R14000,ê_ìﬁêÏåß,9103000,4551000,4552000,8967000,4489000,4478000,1161000,595000,567000,5820000,3009000,2811000,2115000,945000,1170000,72996,37565,35431,1.31,74387,40411,33976,203866,111968,91898,191011,107756,83255,48851,16004,16.2,30.5,2.5,103,1860,37261,7894637,1416,48752,171800,423200,720,8577,137910,889,24895,468512,478,14634,236462,78931,75242,235,12448,205223,64590,39834,16,29,356,5167,7095,178405,3104,283,35353,3630,110,14,25289,3136,211532,944627,718566,36720,42566,306468,16103000,1353540,68314,14323,28224,24993,5126117,1668209,2137133,1257990,2971896.0,893,25.7,294,6556,4920,1225,110806,1079,114408,17997,298009,75160,19306,22599,10168,12889,16291,37880,13330,33222,57165
2013,R14000,ê_ìﬁêÏåß,9084000,4546000,4538000,8956000,4487000,4468000,1170000,599000,571000,5876000,3038000,2839000,2033000,907000,1126000,74320,38245,36075,1.31,72970,39611,33359,207670,113771,93899,195314,110213,85101,49769,16587,16.6,32.7,1.8,95,1516.5,44511,9506098,1443,55671,169900,402000,724,8511,141407,890,24760,471280,480,14637,237461,79734,75709,236,12353,201949,63150,38502,16,29,358,5149,7240,179331,3148,307,35766,3837,110,17,24558,3066,228922,1061521,664239,38248,44489,310358,14674170,1015740,77359,18426,27311,31481,6225367,2162325,2772012,1283915,3008291.0,906,25.3,295,6545,4915,1146,103996,1462,106750,17051,309536,77034,21360,22272,9507,12845,14137,40827,16228,37088,58237
2012,R14000,ê_ìﬁêÏåß,9070000,4544000,4526000,8946000,4488000,4458000,1178000,602000,575000,5942000,3071000,2870000,1948000,869000,1079000,75477,38710,36767,1.30,71996,39450,32546,207908,114301,93607,199306,112686,86620,51530,16812,15.8,32.4,1.7,110,1997.5,41490,8848510,1498,49850,178200,401400,728,8533,143312,892,24799,475519,481,14577,236734,78468,74159,236,12341,201387,64534,38850,18,29,371,5151,7379,186788,3208,345,35721,3855,110,19,23976,2988,252396,1165301,597671,40302,47245,364763,14027600,822610,69968,17241,23802,28809,5743332,2009232,2618562,1107047,3056604.0,921,24.8,298,6497,4902,1079,99091,2039,103144,16204,304866,74570,22640,22589,10394,13088,13030,43386,13873,32525,58770
2011,R14000,ê_ìﬁêÏåß,9060000,4544000,4516000,8934000,4487000,4448000,1184000,606000,579000,6009000,3106000,2903000,1865000,832000,1033000,76000,39073,36927,1.27,70946,38933,32013,210631,115123,95508,200512,113331,87181,50806,16792,16.3,31.4,1.9,96,1557,40672,9364657,1562,50572,179000,401600,731,8532,142873,892,24532,481911,480,14400,235238,77472,73134,235,12367,198436,61420,37200,19,28,395,5138,7648,189578,3289,379,35724,3928,110,19,23662,3058,275639,1247816,531296,42070,49295,382067,13288750,625950,71722,16972,23446,30797,5992075,2001902,2854236,1083502,3085925.0,940,24.7,297,6424,4862,992,92828,3095,96770,15073,322798,74282,23770,20406,11908,16181,15280,34485,17757,36451,72278
2010,R14000,ê_ìﬁêÏåß,9048331,4544545,4503786,8846903,4442940,4403963,1187743,607606,580137,5988857,3091412,2897445,1819503,812966,1006537,78077,39873,38204,1.31,67760,37471,30289,215904,118743,97161,201017,114535,86482,54203,17830,16.5,32.7,3.2,107,1855.5,41729,8262436,1601,51387,181000,408300,733,8534,142696,893,24364,486659,479,14185,231291,75994,71624,236,12398,195761,60440,36694,19,28,453,5321,7963,188762,3548,448,35639,4413,114,19,23627,3290,296085,1376583,483615,43284,49679,409718,13978650,825110,71789,18083,25497,27836,5807082,2114640,2526466,1145004,3072908.0,943,24.5,296,6407,4868,925,86657,4117,90929,14025,322916,77341,28862,21926,10114,13715,13998,44718,14217,34125,63899
2009,R14000,ê_ìﬁêÏåß,9006000,4533000,4473000,8880000,4474000,4406000,1201000,616000,585000,5953000,3086000,2867000,1790000,806000,984000,78057,39920,38137,1.28,63745,35458,28287,228793,128228,100565,207327,119725,87602,54983,17763,16.3,29.9,3.6,108,1894,37407,7865512,1639,50766,184600,420200,734,8430,144332,895,24256,488120,480,14127,230944,78229,73708,238,12328,191747,60868,37613,19,27,465,5252,8546,185534,3854,505,34390,4658,115,19,23379,3342,309518,1475739,458491,42324,48300,399968,11380880,609200,64125,17543,24611,20602,5060990,2048384,1902468,1056254,3125728.0,962,24.5,300,6372,4842,940,88254,3245,92913,13943,316354,74817,15153,20374,9383,14597,15325,39425,17448,39570,70262
2020,R15000,êVäÉåß,2201272,1068670,1132602,2168416,1053533,1114883,247480,126902,120578,1210917,616752,594165,715935,309603,406332,12981,6616,6365,1.33,29455,14652,14803,20451,12150,8301,26558,14848,11710,7570,2637,14.7,31.5,1.5,182,2077.5,12445,1882984,2020,43449,26000,75700,85,803,5239,452,8286,105818,230,4755,53720,17702,16996,102,4046,53114,17158,8283,5,21,92,2820,1417,27153,647,35,6182,1118,85,7,14379,98,63523,266054,349770,18785,18829,10627,5489410,157710,10722,5929,3053,1695,1034304,722758,167785,140271,820134.0,1016,21.7,105,1653,1132,721,73818,3,62210,6939,273946,75581,13904,23760,11072,9041,12429,45737,10323,23895,48205
2019,R15000,êVäÉåß,2224000,1079000,1145000,2208000,1073000,1135000,254000,130000,124000,1249000,637000,612000,720000,311000,409000,13640,6930,6710,1.38,30572,15032,15540,20178,11921,8257,28340,15535,12805,8742,2823,14.6,31.7,0.5,153,1352,14205,2008712,2062,44112,25900,75100,89,821,5873,456,8303,107351,232,4750,54441,18495,17883,102,4194,55030,18311,8776,5,20,94,2713,1394,26543,620,37,6040,1046,83,6,14642,114,68416,257143,419730,23462,23795,45383,8252690,381920,11703,6749,3603,1296,1154860,843080,136582,171115,845564.0,1034,22,108,1671,1152,723,70781,2,62874,7125,294196,75753,10362,25991,11260,11081,11938,53272,11309,28054,55176
2018,R15000,êVäÉåß,2246000,1090000,1157000,2232000,1084000,1148000,260000,134000,126000,1270000,647000,623000,716000,308000,408000,14509,7419,7090,1.41,30068,14870,15198,20644,12278,8366,28188,15455,12733,8612,2814,14.3,31.7,-1.6,173,1795.5,14232,2227290,2112,44371,25900,74900,92,863,6531,465,8341,109403,234,4807,55315,19056,18468,102,4262,56649,18562,8597,5,19,95,2632,1405,26314,637,38,6143,1077,81,6,14882,124,72383,262192,445641,26203,26664,44473,7666700,286350,11592,6486,3694,1341,1139602,819123,134836,178851,851718.0,1034,22.9,108,1671,1159,722,68109,1,60042,7455,291158,74871,10291,26565,9161,8823,12236,53924,8674,25738,60875
2017,R15000,êVäÉåß,2267000,1099000,1168000,2254000,1094000,1160000,265000,136000,129000,1292000,658000,634000,709000,304000,405000,14967,7708,7259,1.41,29323,14650,14673,21372,12590,8782,27938,15444,12494,8916,2902,13.7,29.8,0.3,169,2036.5,13508,2172345,2140,44470,26000,74800,97,862,7257,474,8300,110916,237,4902,56940,19201,18727,103,4372,58524,18890,8658,5,18,96,2372,1423,26106,606,36,5914,1120,81,6,15272,129,75331,273175,408052,27448,27777,42387,7513730,214870,12046,6174,4506,1303,1143083,780259,132101,226142,846608.0,1017,22.2,109,1675,1162,700,66370,2,60282,7551,291583,72534,20406,25663,9704,9252,10698,47775,10920,23572,61059
2016,R15000,êVäÉåß,2286000,1107000,1179000,2274000,1103000,1171000,271000,139000,132000,1315000,669000,646000,700000,299000,401000,15736,8125,7611,1.43,28822,14460,14362,21316,12520,8796,27505,15145,12360,9311,2987,14.5,31.1,0.7,164,1499,13781,2234220,2175,44854,26200,75300,101,925,8263,484,8355,112133,238,4962,58851,20501,20074,104,4426,59454,19427,8693,5,18,97,2395,1467,25937,689,42,5854,1087,81,5,15602,154,81143,293271,362539,29555,29915,40429,7459160,190950,12750,6595,5136,992,1216083,850033,103427,260404,850221.0,1012,22.7,111,1688,1168,692,65536,0,60438,7801,275978,73208,13701,24123,9668,8742,11481,37333,10838,24245,62638
2015,R15000,êVäÉåß,2304264,1115413,1188851,2289345,1109570,1179775,275945,141466,134479,1333453,676493,656960,685085,291629,393456,16339,8359,7980,1.44,28297,14224,14073,21852,12862,8990,28587,15837,12750,9435,3193,14.4,29.5,0.5,152,1467.5,13292,2160136,2216,45552,26500,76300,115,1068,9633,487,8355,114134,238,5004,60358,20628,20223,106,4493,60453,19479,9005,5,18,102,2358,1468,25514,642,38,5627,1039,81,6,16282,155,88124,316800,352154,31219,31585,36981,7419210,177320,11648,6375,4123,1043,1134835,822819,105307,198632,874457.0,1030,22.8,112,1694,1172,694,63811,0,60916,8016,286762,75385,16719,27614,9936,10801,11003,42617,7786,25782,59119
2014,R15000,êVäÉåß,2320000,1123000,1198000,2309000,1119000,1190000,282000,145000,137000,1359000,690000,669000,672000,284000,388000,16480,8424,8056,1.43,28316,14316,14000,21853,12606,9247,27371,15120,12251,9954,3175,13.7,29.6,-0.3,170,1984,13039,2291444,2291,46452,26900,77600,154,1532,14675,497,8389,115671,238,5087,62251,21062,20631,105,4565,61504,19873,9192,5,18,98,2346,1559,25180,725,39,5902,1088,79,6,16880,158,93376,339185,361423,32872,33117,38313,7387930,114610,11562,6368,4125,984,1135983,831898,100607,198543,881955.0,1033,23.3,111,1687,1170,679,61237,17,60061,8313,278832,68359,13278,27715,10314,8910,10291,48785,6322,26033,58825
2013,R15000,êVäÉåß,2336000,1130000,1206000,2325000,1126000,1199000,287000,147000,140000,1388000,705000,684000,655000,275000,380000,17066,8821,8245,1.44,28383,14160,14223,22656,13105,9551,27788,15365,12423,9965,3276,13.8,30.7,-1.2,172,2327,16086,2668172,2355,46738,27300,79200,155,1525,15001,510,8513,118425,240,5165,63367,21620,21204,103,4564,61709,19626,9091,5,18,102,2326,1575,25072,682,38,5772,1034,78,6,17144,157,102117,377133,345024,34849,34964,42690,7302720,93590,13576,8415,4432,710,1425961,1128680,75847,217695,893620.0,1039,23.2,111,1684,1173,667,59382,0,58634,8004,277591,69774,16101,27156,10328,9575,11359,44124,11156,23564,54455
2012,R15000,êVäÉåß,2350000,1137000,1214000,2339000,1133000,1206000,292000,150000,142000,1415000,718000,697000,639000,267000,373000,17476,8914,8562,1.43,28083,14388,13695,22966,13277,9689,27811,15419,12392,10219,3222,13.8,31.9,-1.2,165,1810,13975,2381785,2408,46914,29400,87300,156,1519,15594,525,8626,120812,241,5173,64445,21703,21259,106,4725,63642,21246,9444,6,18,100,2326,1511,25053,623,26,5800,1142,79,7,16449,145,111072,416832,308754,35560,35629,50372,7446880,81100,11490,6956,3775,730,1195960,927556,76117,189082,903998.0,1044,23,111,1672,1185,688,60984,0,59654,8193,293075,68971,16850,26905,11390,10093,12074,41844,11606,26384,66959
2011,R15000,êVäÉåß,2364000,1143000,1221000,2353000,1139000,1213000,297000,152000,145000,1441000,732000,710000,624000,258000,365000,17667,9170,8497,1.41,27319,14112,13207,24711,14205,10506,26881,14972,11909,10278,3253,13.9,30.7,-0.7,171,1858,13064,2274249,2556,49145,30100,90700,157,1514,15572,531,8678,124116,242,5155,65663,22237,21779,107,4763,64974,21026,9549,6,18,103,2325,1550,24871,730,31,5401,1125,80,8,16177,149,116633,437820,271588,36556,36357,48363,7676890,78870,11369,6747,3862,728,1177660,907039,76410,190547,898306.0,1033,22.7,110,1675,1182,674,59761,3,57704,7933,280430,67151,22062,24801,9151,8599,10370,40075,11435,25257,61529
2010,R15000,êVäÉåß,2374450,1148236,1226214,2355361,1140086,1215275,301708,154591,147117,1441262,729943,711319,621187,257374,363813,18083,9246,8837,1.43,26618,13839,12779,23754,13712,10042,27858,15393,12465,11018,3438,14.4,33.0,0.3,191,2072,13341,2198108,2655,50264,30100,94400,159,1515,15767,534,8709,126465,242,5135,65834,21943,21498,107,4858,66163,20756,9687,6,18,105,2297,1699,24297,781,39,5273,1125,79,8,15790,155,123733,471914,235190,37143,37368,50692,7342470,99330,11306,7109,3482,606,1212519,966995,63024,173321,901354.0,1034,22.2,111,1659,1189,680,59529,0,57255,7813,284998,69928,9351,26095,10083,10252,10114,37279,14634,31498,65763
2009,R15000,êVäÉåß,2385000,1153000,1232000,2373000,1149000,1224000,300000,154000,146000,1458000,740000,719000,620000,256000,364000,17948,9240,8708,1.37,25148,13087,12061,24544,14485,10059,29005,16296,12709,10838,3365,14.1,28.2,0.7,170,1792.5,12492,2158329,2644,49696,30800,98900,160,1485,16278,552,8828,129053,244,5203,67776,23609,23067,108,4896,66722,21664,10331,6,18,108,2264,2156,23670,1177,113,5245,1189,79,10,15161,174,126450,515590,197697,35828,36158,46747,7276970,87430,11850,6642,4424,591,1202052,925883,62221,202255,928927.0,1061,23.6,111,1667,1192,688,59927,4,57733,7444,296163,70220,16332,24451,9483,12737,12404,36099,11875,30885,71677
2020,R16000,ïxéRåß,1034814,502637,532177,1009388,490245,519143,115177,59295,55882,568052,290743,277309,333008,141663,191345,6256,3236,3020,1.44,12981,6403,6578,11545,6884,4661,13267,7387,5880,3720,1239,15.4,33.9,1.6,186,2136,6898,1002817,390,14969,30800,76100,42,284,2249,183,3595,48757,78,2052,26565,8966,8758,53,2222,26722,8720,4772,2,5,77,1112,1123,10739,492,17,2393,517,24,22,3091,3162,25943,112452,138353,7864,7979,6511,1994230,38900,5173,3031,1614,521,523814,393131,54100,75824,397704.0,1039,22.7,87,759,442,294,32511,0,29101,2251,302233,80185,13035,25840,12610,9779,12348,48804,8802,27599,63232
2019,R16000,ïxéRåß,1043000,506000,537000,1026000,498000,528000,119000,61000,58000,587000,301000,286000,337000,144000,193000,6604,3414,3190,1.53,13207,6555,6652,11663,6836,4827,13669,7603,6066,4226,1327,15.2,32.1,0.5,166,2097.5,7799,1157442,418,15576,30700,74500,47,337,2634,188,3574,49847,82,2109,27235,9304,9115,53,2237,27680,9192,5086,2,5,75,1133,1102,10561,456,10,2298,435,26,23,3198,3179,27781,105951,181932,9685,9990,26774,3218200,276670,5919,3265,2041,587,596353,430035,62788,102006,404812.0,1046,23,87,762,443,301,32331,0,28398,2678,307640,78375,17603,25679,11687,10449,12506,51376,8174,29062,62729
