SSDSE-C-2023,2020-2022年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
R28100,兵庫県,神戸市,2.84,997058,82282,19995,13351,24142,3649,2029,1220,3995,4875,2224,838,642,1665,3656,73295,3278,1947,358,1187,1101,4580,713,372,2086,3424,1853,1521,3370,2072,9146,3898,407,136,1106,1051,293,1685,1503,1295,331,6596,2712,1882,2698,946,814,2367,1167,2447,2951,111031,35086,31513,19487,3389,3617,6054,6985,2425,2475,52621,17539,559,13793,1595,6969,769,11396,110907,2874,2156,1502,3694,2517,2566,1028,7328,1485,2936,601,1757,2629,848,4294,1230,818,3616,1961,1590,2910,2188,8686,2545,1914,1954,1129,2260,5549,470,386,2702,1231,760,2717,5332,3226,3634,1205,1722,1345,1052,585,4473,977,358,2164,43095,5031,4414,711,2600,1094,3502,1107,891,1312,684,3819,6118,2485,5106,4220,44702,4301,785,367,1653,1540,1019,647,942,647,1195,1907,1492,1241,3934,2464,1352,5034,14180,89530,539,589,8771,870,7648,1989,1664,11160,4991,4965,4400,1752,7658,1883,9247,21403,139662,13109,15410,4337,5597,16282,3180,5728,2210,1869,10429,929,2005,1851,1274,7778,4129,43548,53033,2459,1370,2068,5275,7291,3968,314,6115,5985,5122,2527,2845,1204,6489,44027,6529,4243,11148,2428,4055,10702,3880,1044,152874,4848,4428,2000,12350,20235,7027,8488,5644,5227,56850,8559,10116,7103
R29201,奈良県,奈良市,2.78,1016594,80968,20248,12382,22625,3582,2624,1294,4199,4471,2169,643,900,1864,3966,80926,3971,864,481,1445,1597,5546,1075,447,1999,3807,2268,1617,4005,2513,7481,5099,530,234,815,1049,305,2493,1875,2287,535,7554,2698,2032,2965,1121,854,2550,1039,2558,3219,115591,38966,32709,19120,3812,3456,5344,7469,2661,2054,53491,16700,658,14799,1589,7041,779,11927,116149,2924,2321,1641,3644,2615,2542,926,7350,1568,3222,833,1749,2499,1002,4073,1174,957,3588,1972,1620,3330,2389,8055,2514,2576,1764,1228,2570,4208,511,327,2949,1401,890,3065,5147,3923,3422,1354,1887,1647,1112,546,6337,1646,581,2548,42890,4933,4527,709,2764,1130,3061,1475,1268,1509,748,4136,5642,2443,4372,4173,49972,4951,744,468,1981,1969,1180,878,930,677,1418,2216,1567,1385,4012,3051,1724,5718,15101,91823,512,939,11270,937,7191,1816,1775,9912,6850,4659,4839,2206,7231,2057,10112,19516,139586,13281,18519,3819,5510,18883,3284,4973,2409,1560,9838,1052,2058,1704,1275,10061,5109,36250,57795,3855,1063,1750,5558,8268,3851,515,8171,5988,4981,2319,3250,1383,6842,50908,5575,7764,12240,2161,4672,11493,5496,1507,136495,4774,4750,1819,14054,21683,4629,8528,6238,5796,40450,7002,7056,9714
R30201,和歌山県,和歌山市,2.84,849611,79829,22720,10724,22757,3373,1951,1089,4070,5285,2230,541,660,1604,2824,70044,4068,945,430,1522,735,4060,1279,399,1363,3348,1951,1265,3566,2831,6661,4122,375,243,916,705,317,2030,1207,2861,470,6425,2685,1679,2972,1033,955,1303,908,1979,2438,105622,34846,31389,17524,3085,3286,4220,7200,2046,2027,42729,14020,455,11378,1030,4294,575,10977,88604,2379,1932,1526,3008,2221,1949,854,4684,1249,2740,632,1411,2026,747,3536,756,571,2667,1595,1194,2704,1845,6125,1751,1729,1555,1079,1647,2507,555,277,2902,891,650,2405,4104,2260,2262,927,1439,2564,859,358,4155,1167,396,1815,35276,4183,5402,497,2057,994,2227,933,2216,1336,693,3367,5205,1373,2572,2220,41794,3779,762,401,1621,1511,1153,756,794,700,1441,1633,1179,1262,3378,2360,1493,5800,11774,76447,494,907,6853,752,6603,1666,1676,7359,3842,3064,4410,1960,5743,1871,9395,19851,122272,16090,15627,3940,4267,14898,3254,4018,2185,1952,9887,844,1887,2083,1796,7135,3862,28546,53817,2099,602,1528,6451,6910,5216,407,6992,5184,4308,2427,3852,1261,6580,33989,4955,3725,9884,1791,994,7984,3847,809,99187,3260,3418,1361,10015,16117,3947,6096,3470,4615,34965,4123,2215,5583
R31201,鳥取県,鳥取市,3.09,911508,77012,20590,11369,19873,3373,1851,1326,3818,5572,3149,463,745,1480,3404,72190,1820,1093,917,1296,2901,4525,1006,579,750,3291,2446,899,3269,4681,6150,2347,470,585,1312,846,394,1965,1424,1136,233,8338,1948,3432,2423,2053,585,1846,682,2196,2349,94292,22365,29946,17965,4913,2421,4469,7952,2415,1846,48016,16964,993,11314,1064,5520,535,11626,96789,3057,1940,1390,3032,2511,2287,1423,5870,1129,2756,540,1553,2401,966,3537,447,372,3040,1319,1112,3211,1762,7076,1989,1911,1868,1392,2101,2996,413,222,2587,1300,564,2603,5590,2993,3177,843,1631,1359,1002,1314,2619,1102,445,2036,42499,4699,4161,573,1735,7596,2591,1386,475,2135,825,2598,5811,1880,2906,3130,46641,4344,723,459,2155,2072,1367,788,877,700,1527,2168,1047,1671,3628,2612,1965,5657,12881,90232,440,1772,9207,846,8670,1965,1746,8333,5289,4528,7820,2507,7692,2919,10156,16344,116149,14824,12704,4019,5765,12901,2104,3644,1989,1574,10820,617,1627,1934,1177,11693,1568,27189,55048,1748,415,1807,5126,7298,5768,412,7045,7081,4230,2560,3435,1277,6847,43199,5057,5224,9573,2249,1896,13079,5024,1099,129440,4431,5612,1415,15062,20839,3535,8073,6325,5012,27918,5266,6635,19316
R32201,島根県,松江市,3.00,916655,73982,19562,10663,18628,3580,2542,1407,4429,4695,2470,409,638,1771,3189,66114,1496,1870,675,1051,1697,4875,1169,335,1040,3855,2262,817,2268,1875,5839,2606,386,1521,648,638,684,1551,1239,1144,501,7059,2175,1346,3673,1282,743,1940,537,2665,2651,94247,21779,30113,18060,3951,2877,4517,7591,2651,2707,48794,17758,753,12631,1230,5914,583,9925,108128,3355,2145,1328,3635,2497,2375,1198,6002,1466,2914,771,1520,2637,1162,3915,696,572,3167,1431,1558,3604,1942,7979,2641,2110,2077,1358,2298,3578,683,346,2934,1552,962,2979,5725,3247,3831,1050,1730,1287,1045,536,4629,916,453,2292,40958,5129,4050,652,2187,3798,3392,1084,464,1402,1118,3570,5206,2341,3120,3445,48302,4378,782,405,2214,2077,1165,726,888,701,1485,2654,1398,1513,3971,2514,1902,5936,13594,83337,710,854,8835,538,7394,1691,1639,7719,4768,4335,6509,2234,6025,1988,8918,19181,126915,14335,14028,4421,5568,14150,2600,4416,2253,1806,10875,704,2052,1817,1395,10041,2444,34009,52782,2846,769,1930,4446,7990,3602,463,6399,6626,3629,2777,3505,1100,6701,43409,6479,6915,11976,1931,2927,7799,4203,1178,129686,6580,6957,1598,12150,18671,3632,5273,6366,5771,31452,5071,10498,15666
R33100,岡山県,岡山市,3.07,905053,79864,18422,10295,25718,3368,1939,1394,4260,5223,2246,473,740,1933,3853,61820,1800,946,288,1360,1049,4677,893,487,1209,3247,1887,1109,3351,1106,7542,2551,462,250,1371,900,306,1768,1365,934,229,5673,2074,1868,2392,1244,798,1492,624,1856,2712,94521,22635,30001,18177,4409,3553,3921,7315,2479,2031,46561,16338,1250,11874,1239,6053,713,9094,87582,2776,1646,1255,2913,2028,2008,1007,4998,1206,2568,459,1218,2119,974,3427,855,374,2199,1093,1082,2458,1411,6500,1658,1686,1684,1311,1806,4119,348,190,2293,1153,549,2441,4536,2646,3246,832,1436,1111,879,477,3403,813,257,2132,37398,3713,3507,563,1589,1213,4964,710,3031,951,525,2986,5548,1647,3255,3197,43389,4148,712,354,1622,1642,970,563,977,615,1260,1970,1248,1246,3693,2262,1688,5031,13386,89455,446,1175,7552,551,8011,2015,1548,9796,4440,4050,6028,2254,6513,2155,10771,22147,132538,17992,12800,5983,5674,17099,2291,5115,1829,1663,11166,639,1844,2205,1197,8482,2257,34300,58716,1411,701,1645,6354,7227,5812,388,7591,6182,4136,3789,2978,1664,8838,37476,4410,4880,7943,1482,1529,10967,5199,1067,135733,5350,5689,2096,11161,15154,2716,5381,8759,5830,47029,6517,6169,13881
R34100,広島県,広島市,3.02,968435,79342,20680,11054,22419,3433,1794,1653,4473,5155,2398,599,649,1401,3634,66962,2116,1236,417,1372,864,5254,827,413,1404,3466,1665,1381,3053,747,7019,4111,612,135,2260,880,386,1553,1576,827,242,6402,2090,1879,2969,1085,710,1622,512,2420,3458,107608,28997,32551,19256,4255,3901,4730,8149,2696,3073,50909,16061,955,14199,1493,6674,740,10788,101657,3021,1993,1360,3561,2331,2404,1020,6347,1134,3245,630,1535,2488,1108,3930,1176,514,3026,1484,1511,3384,1702,7298,2304,1938,2177,1292,2290,3953,373,292,3033,1159,845,2667,4634,2490,3630,906,1583,1012,1014,591,3923,984,352,2015,37423,4384,3309,731,2205,976,3226,892,875,1209,700,3296,5965,1978,4052,3624,47348,5051,677,436,1792,1938,1049,746,1233,655,1426,2220,1301,1399,3853,2456,1732,5559,13826,90452,365,829,8815,547,8071,2337,1431,9502,3989,4254,5828,2623,7400,2358,10813,21290,144430,18010,14487,5554,5389,20585,2163,5959,1877,1848,12245,777,1854,2307,1207,8356,5649,36161,58756,1859,658,1910,6370,7893,5049,383,8346,7432,4155,2920,3411,1603,6768,47008,4817,7555,13145,1916,3765,9935,4239,1636,136539,5668,5493,2596,11745,19131,3055,7070,6706,7084,44943,5994,7811,9242
R35203,山口県,山口市,2.92,906932,73672,18933,9923,20310,3725,1912,1189,3513,5457,2485,462,827,1437,3497,71860,1767,2552,664,1208,1683,4657,1057,382,1995,4567,2177,1230,2782,1259,8148,3756,542,272,761,881,477,1484,1612,962,530,7268,2257,2170,3815,1371,696,1464,420,2305,2689,104299,30534,28750,19262,4157,3355,4773,8030,2941,2498,47316,15081,412,13636,1488,5761,701,10238,89471,2612,1701,1235,3077,2296,1660,925,4827,1008,2567,634,1325,2330,1217,3459,871,352,2449,1023,1391,2857,1654,6147,1731,1777,2177,1357,1816,2405,489,332,2460,1293,678,3019,4660,2517,3509,749,1490,1036,1017,605,3484,960,545,1746,36265,5015,3792,397,1988,2617,3148,580,684,1331,728,3334,5400,1528,2788,2936,46201,4694,633,505,1921,2262,1384,743,888,645,1472,1902,1115,1426,3851,2455,2118,5287,12899,88869,448,1310,10228,631,7564,2290,1910,9181,5627,4509,7163,2452,7374,3084,9675,15423,130806,19173,13805,4151,6975,15849,1930,4296,1668,1528,11550,534,1762,1775,1405,10788,4383,29233,57752,1816,621,1792,6325,7938,4829,414,7777,7583,3486,3379,3050,1546,7197,46859,4838,7737,11020,1188,2723,13424,4810,1119,113563,5459,4100,1125,11725,19282,2869,11563,6710,4971,18110,4349,7410,15889
R36201,徳島県,徳島市,2.90,950852,77132,19740,11111,22919,3405,2400,1183,3487,4776,2005,402,634,1419,3649,69982,3293,991,209,2352,473,5033,796,369,1587,4633,1887,1308,2818,1513,6307,4106,604,285,672,645,281,1709,1125,1020,218,8104,2940,3065,2474,1158,905,1520,801,2164,2617,98833,31901,28108,17198,3891,3030,3978,6427,2408,1889,46063,16001,760,13199,1252,4794,597,9459,98063,2770,1650,1444,2944,2352,1948,1054,5474,2194,2454,486,1412,2195,681,3519,956,577,2699,1529,1202,3021,1807,7161,1903,2260,1987,1383,1452,3863,413,202,3883,1697,744,2354,5976,2492,3035,1023,1606,1095,1083,531,4283,958,392,1918,41674,4815,3910,594,3138,1766,3538,763,946,1263,1011,4744,5530,2268,3967,3422,44495,4210,541,355,2018,2299,1071,779,962,653,1363,1981,1073,1319,3407,2455,1500,5769,12739,83499,468,968,8238,756,7445,1672,1378,8652,3822,3726,4895,2161,6494,2073,9183,21566,144390,16420,16674,4491,5783,15045,2926,4939,2070,2142,13289,763,1952,3091,1403,7957,6226,39218,61240,2225,728,1454,6825,7631,5183,313,7614,7730,4287,3090,4105,1955,8101,40651,5038,5772,10091,2099,2864,9280,3927,1580,144831,6154,5171,1299,12327,19762,4036,6867,5474,7211,50381,5740,7153,13255
R37201,香川県,高松市,2.85,917533,75722,16580,11086,19908,6519,3379,1115,4019,4937,2421,451,678,1477,3153,70119,2292,1302,250,2300,823,4886,893,548,1697,4979,1845,1560,3313,1693,6066,2656,603,210,1402,975,213,1621,1133,878,319,6634,3686,1939,3194,1269,821,2375,702,2218,2823,95454,24974,28692,18310,3883,3955,4324,7022,2217,2079,44459,15146,1275,12348,1042,4856,598,9194,90179,2566,1937,1410,2961,2040,1880,1008,4910,1105,2576,443,1299,2243,922,3297,908,478,2456,1256,1291,2655,1806,5812,1745,1833,2019,1221,2026,2125,325,184,2427,1232,795,2360,5604,3520,2847,1025,1805,1505,1074,543,3546,943,321,1895,36538,4077,3984,524,2347,1641,3682,875,1199,1135,553,3889,5509,1439,3067,2616,44133,4395,638,410,1907,2039,1203,740,924,570,1306,2013,1203,1311,3647,2426,1577,5720,12102,85486,518,1199,9183,836,7526,2124,1651,9308,5684,4133,6673,2529,6248,2384,9404,16085,129810,17291,13996,4824,5822,15690,2121,4722,2090,2255,12176,702,1862,1788,1639,8969,3884,29978,60843,1938,572,1591,7468,7051,5952,414,7548,7476,4039,3224,4419,1599,7551,41807,4239,6757,9917,1239,2346,11225,5237,846,142983,13319,5755,2266,13361,28707,4972,11199,7842,5992,20714,6244,9582,13028
R38201,愛媛県,松山市,2.90,847561,74293,17381,9597,24081,3522,1819,1257,3954,4439,2207,578,713,1361,3384,66424,1862,1573,587,1844,448,4745,1023,498,2422,3107,1777,1262,3325,1139,8325,2935,552,255,861,880,229,1063,1103,1016,282,6822,2958,2648,2717,1207,853,1106,528,2069,2404,97881,26363,30304,17868,4166,2992,4659,6746,2331,2454,43939,14468,775,12063,1032,5010,616,9977,89279,2948,1616,1271,2761,2195,1997,1022,4982,1115,2656,740,1246,2227,1068,3388,1084,397,2965,1403,1297,2727,1453,6454,1666,1456,1818,1239,1462,4286,324,149,2491,1109,546,2419,5167,2488,3059,804,1677,1098,770,351,3020,700,245,1921,40058,3879,4761,174,6439,1253,3184,904,646,1093,670,2980,5391,1535,4142,3007,43426,4266,643,370,1725,2011,1060,803,1000,639,1424,2069,1074,1352,3032,2163,1802,5545,12445,82656,664,703,8166,561,6805,1920,1308,7698,4152,2972,4811,1837,6255,2042,9782,22980,120229,13359,14143,3454,3501,14258,1852,3087,1707,1419,10852,557,1655,1708,974,8069,3907,35727,53630,2007,547,1291,4267,7320,3745,370,7338,5842,4836,2138,3871,1543,8517,36899,3836,5448,10282,1567,1609,9339,3885,933,98847,4981,3054,988,9112,12326,2031,2836,5037,4855,35559,3490,4591,9986
R39201,高知県,高知市,2.90,936715,75577,21245,11538,19374,3364,1418,1068,3367,6085,2588,444,581,1121,3386,71077,4388,1086,254,7425,345,3681,888,231,1591,3980,2058,1231,2691,1369,4309,1301,655,219,645,1008,367,1898,1001,2817,654,6717,3173,2302,3634,1348,1149,1261,320,2199,2879,89575,23265,26571,16983,4385,3308,3355,7136,2092,2480,43831,12438,1408,12768,952,4342,448,11475,90760,2892,1818,1481,2861,2519,1955,972,5577,1145,2354,540,1351,2023,815,3236,459,854,2330,1373,1400,2937,1513,8615,1666,1734,1506,1340,1539,2995,305,146,2254,1222,557,2156,5109,2314,2933,658,1762,910,1458,1701,2160,917,379,2021,37751,4038,4065,355,5102,2353,2707,749,687,1369,1248,3019,4653,1729,3070,2606,43509,3794,662,428,1675,2085,971,721,844,661,1362,2161,991,1370,3585,2437,1746,6308,11707,84802,767,959,7419,915,8843,2154,1963,8640,3914,4830,6971,2324,6446,2559,11035,15064,148111,24534,16513,5478,5454,17450,2271,5592,1908,1581,13908,498,1446,2389,1396,12147,5640,29906,56189,1729,631,1398,6368,6348,5249,316,7844,6035,4110,3117,3478,1531,8035,47840,3276,4946,9867,2281,2591,17395,6290,1192,147693,5766,7320,1815,17816,20654,4353,10802,12033,6881,27379,4635,14211,14028
R40130,福岡県,福岡市,2.98,949271,79266,21449,9796,23791,2917,1728,1503,3869,4741,2541,680,747,1602,3903,69262,1520,1442,657,810,940,4193,998,299,1953,3493,1732,1005,3070,1160,7605,5914,536,103,607,789,359,915,4969,925,431,6325,2074,1599,2546,1099,747,2128,483,2572,3265,104390,26714,30912,21612,3847,4189,4510,7336,2529,2741,45736,13762,1235,11956,1262,6675,572,10273,103998,3142,1573,1216,3194,2365,1964,1102,6403,1328,3069,856,1427,2374,1095,4129,860,724,3311,1352,1406,3107,1959,7447,2267,1749,1721,1291,2087,6526,521,462,2795,1434,721,3186,4564,2379,4482,679,1436,1256,960,519,4470,744,377,1970,36941,4477,3238,498,1756,1954,3068,1163,682,1351,658,3112,4609,2030,4392,3952,46500,4499,622,395,1734,2325,1056,865,752,714,1391,2108,1194,1261,3599,3584,1832,5051,13519,89502,543,1158,8497,612,8236,1876,1629,7536,3945,3639,5465,2243,6724,2076,10824,24498,124613,19354,12529,4599,5889,15397,1851,3645,1433,1622,10417,734,2271,2023,1535,7254,1398,32662,56397,3646,1003,1765,5593,7630,4326,385,7182,6936,3117,2006,4089,951,7766,45377,5279,7567,10401,1873,5075,9053,4454,1676,147290,6348,5410,1805,11458,18677,3376,7078,5936,6199,50939,6721,9886,13457
R41201,佐賀県,佐賀市,2.83,908737,72647,21634,8940,19701,2526,1882,1201,3398,5082,2813,488,590,1419,2973,69247,1853,1729,555,725,1531,5707,975,320,2190,3800,1788,746,3784,1250,5904,4357,658,195,689,888,256,1477,2086,685,403,6120,3220,2405,3076,1633,888,2090,376,2512,2374,103007,29326,30231,18574,4094,3388,4628,7185,2691,2890,44100,13404,562,13123,1046,5319,419,10226,102258,3006,1622,1298,2997,2169,1757,1251,5101,1236,3007,820,1217,2171,1365,3910,1142,728,2957,1136,1226,3245,2012,7842,2056,1908,1736,1408,1942,3269,515,566,5261,1154,670,2800,5125,3365,4084,772,1746,1173,1223,629,4014,984,404,2239,33961,4591,3264,265,1676,2156,2197,903,580,1203,666,2940,5219,1668,2735,3899,44976,3938,505,415,1888,2203,1195,818,654,608,1424,2325,1050,1480,3652,2869,1670,5555,12725,83994,1272,1202,8617,946,6970,2011,1716,8201,4009,4666,6271,2418,6171,2258,10073,17192,133450,16688,12921,4167,7033,15372,2381,4716,1673,1734,12111,1098,1912,1944,1395,12565,4874,30866,57710,5009,528,1653,6498,5900,4122,303,6552,7739,4579,2304,3205,1272,8044,42974,6290,6428,10818,1416,3165,10798,2947,1112,120412,6454,5718,2061,11691,29260,2939,11151,8146,4786,17051,4409,8248,8500
R42201,長崎県,長崎市,2.82,888555,82559,26536,9325,23436,2731,2047,1179,4234,5476,2091,491,645,1521,2846,75074,1301,2475,657,804,444,5082,866,281,1748,4189,1744,953,3249,1676,8381,5508,718,153,666,910,230,1059,1550,598,684,6865,3820,2055,6253,2036,777,1760,412,2352,2819,93642,22132,29320,17138,4317,2958,4403,7784,2816,2775,42824,13474,548,11170,1060,5397,485,10688,100414,3520,1374,1291,2559,2177,1927,1104,4690,1304,3005,753,1408,2050,1085,3922,740,745,3039,1337,1368,3335,1629,7603,1917,1839,1738,1149,1649,5648,413,427,3335,1413,1057,2803,4697,2743,4082,786,1574,1641,1242,559,4267,999,411,2058,37883,4652,3719,264,1445,1444,2680,1240,759,1378,708,3103,5806,2194,5200,3292,45601,4484,714,406,1995,2630,1185,765,729,632,1417,2168,1207,1333,3726,2744,1929,4685,12852,83062,357,1095,7234,4103,6089,2118,1308,7444,3915,3522,4880,2386,5678,1654,9888,21391,133460,16650,12957,4419,4957,15514,2119,3716,1862,1715,13101,493,2028,1999,1617,8504,5795,36013,55005,5637,593,1449,6125,5832,3630,348,7332,5384,4712,2255,3655,1015,7036,38032,3989,7287,10246,1667,2435,8324,3119,964,100999,3356,4417,1408,8019,12538,1564,4858,3516,3636,42611,3259,5026,6789
R43100,熊本県,熊本市,3.02,907632,72902,22124,9075,19312,2442,1888,1408,3186,5270,2705,580,697,1049,3167,59679,1954,1218,507,908,568,4521,827,226,2259,3066,1711,1019,3031,592,6201,5359,587,62,467,693,305,1058,2086,702,212,5448,1824,1942,2167,1040,696,1343,560,2258,2265,106713,26697,31396,20858,4905,4867,4290,7933,2958,2812,44143,13965,689,11003,1311,6014,506,10656,90903,3241,1223,993,2499,2132,1761,1148,4565,945,2663,915,1184,2012,1008,3727,673,417,2675,1089,1140,3290,1504,7092,2077,1568,1721,1417,1638,3523,385,388,2731,1230,577,2249,4455,2952,5207,603,1442,1059,812,353,3632,750,449,1792,29923,3112,2647,253,2689,1028,2359,708,420,1660,1080,2512,4356,1428,2719,2952,46001,4618,571,414,2081,2610,1100,807,817,775,1655,2439,965,1622,3435,2454,1936,4798,12906,86219,473,1384,7348,556,8494,1980,1509,7640,3452,3983,6283,2156,6330,2575,11006,21049,129625,21609,11527,3954,6171,14872,1351,4079,1430,1448,11785,538,1943,1994,1475,10491,4012,30947,57060,3764,640,1475,7343,6453,4567,252,6346,7203,5135,2386,2737,1282,7477,45221,3572,8281,9662,2583,3326,12633,4025,1138,139243,4722,5359,1834,13418,19775,3316,7126,7961,7552,41354,4678,9625,12522
R44201,大分県,大分市,2.82,900446,69881,19486,8962,19634,2608,1356,1186,3388,4669,2637,602,689,1449,3216,68676,1989,2102,825,780,846,4306,1039,469,1800,3750,1511,979,3098,1500,7600,5448,573,190,736,777,479,1171,1908,725,518,6800,2373,1745,2658,1201,713,2038,652,2475,2904,107663,30663,31011,20439,4378,3947,4637,6990,2599,2999,43417,12638,927,11983,1103,5801,471,10494,96450,2941,1337,1240,2873,2241,1900,1045,5382,1122,2868,931,1397,2156,1197,3817,689,465,2596,1236,1086,3222,1657,7051,2007,1789,1773,1430,1594,4143,550,537,2701,1401,739,2790,4746,2568,4615,667,1565,1025,1079,518,4559,823,393,1989,38679,4652,4677,334,3022,2023,3210,1082,551,1003,611,3111,4987,1896,3566,3954,44577,4627,595,413,1858,2223,1220,1117,646,673,1382,2181,1150,1272,3812,2217,1818,4691,12682,85489,585,1349,7329,697,7591,1853,1735,7908,4749,3724,6482,2255,6844,2953,10022,19412,125725,18864,12673,4324,5349,14014,2085,3911,1537,1631,12925,488,1870,1819,1092,9835,1863,31445,56380,3527,660,1606,7785,7085,4622,343,6615,6499,2421,2012,3890,1052,8263,45319,3575,8913,10358,1612,3640,11417,4678,1126,118190,4637,5298,2103,11477,19065,2492,6763,9377,6438,25237,5370,7126,12808
R45201,宮崎県,宮崎市,2.92,891422,69986,21021,8375,18188,3210,1685,1204,3481,4854,2362,488,615,1343,3161,62108,2745,1862,569,2029,497,3880,1233,228,1002,3161,1519,902,2738,1272,6034,4361,508,267,423,599,240,1055,1618,431,654,6062,2862,1438,2478,1141,811,1865,479,2565,2578,101554,23973,31882,21556,3935,3114,3900,7367,2372,3457,43912,13836,839,12871,1045,5336,509,9477,94149,3244,1373,1267,2766,2336,2073,984,5219,1134,2572,797,1211,2139,894,3855,333,511,3068,1073,1293,3019,1824,7321,1767,2090,1792,1512,1579,4206,468,473,2249,1060,630,2322,5232,2560,4258,591,1591,907,1154,471,3448,841,413,2231,39395,4355,3857,222,4039,1433,2834,889,546,1256,1106,2965,5324,1649,6011,2908,45865,4584,482,422,1855,2693,1340,884,668,617,1427,2435,929,1414,4076,2287,1809,5738,12205,82726,387,1108,7164,672,6572,2022,1613,7124,4409,3930,5666,2184,6830,2266,10682,20097,134846,18545,12037,4114,4690,15107,2632,4309,1412,1856,11793,589,3969,1721,1477,9695,4706,36195,57794,4351,469,2060,7470,5502,4161,461,6109,6761,5349,2199,3604,1318,7980,45227,2629,12476,9010,2008,2403,11667,3935,1099,113860,5382,5805,1296,11519,15186,1474,5554,5685,5328,35530,3476,5210,12416
R46201,鹿児島県,鹿児島市,2.87,902995,73558,22570,8061,19697,2823,2280,1308,3587,4686,2402,507,591,1418,3629,66226,2840,1486,859,1430,395,5123,1559,236,2025,3350,1570,928,3221,1109,5319,4312,529,141,439,797,382,882,1265,545,537,5218,6524,1227,2497,1031,1180,1685,512,2755,2317,98910,23980,31729,20850,4095,2559,3731,6695,2526,2747,45215,14835,1066,12459,1001,5101,532,10220,99885,3209,1549,1116,2871,2245,2137,1240,5745,1370,2987,806,1497,2707,1112,3915,457,553,2781,1223,1425,3330,1508,6927,1930,1932,2095,1367,1934,4303,633,817,2878,1480,975,2778,5187,2937,4816,686,1692,891,795,252,3173,1042,476,2104,35328,4388,3978,231,2616,1057,2000,1139,406,1324,1015,2973,5527,2225,3249,3199,47634,5316,483,436,2527,2529,1563,1313,703,705,1482,2305,929,1416,3887,2768,1987,5215,12068,83003,453,1656,8746,597,7038,1691,1394,7485,3766,3267,5152,2053,6775,1949,9562,21420,121894,18920,12090,4311,4055,13157,3338,3278,1698,1810,10583,428,2757,1999,1160,8356,2464,31490,64711,5651,533,1677,6623,6135,3399,342,8060,5801,9673,1948,4884,1461,8525,37438,2302,10832,9466,1331,2956,6889,2807,854,129193,5921,6007,2277,12138,19622,1882,7611,6633,6273,36233,3899,6505,14191
