SSDSE-F-2023,1991-2020îN,,,CN100,CN110,CN120,CN131,CN132,CN141,CN142,CN143,CN144,CN151,CN152,CN200,CN210,CN220,CN230,CN300,CN311,CN312,CN313,CN400,CN410,CN420,CN500,CN511,CN512,CN513,CN514,CN515,CN600,CN610,CN620,CN631,CN632,CN633,CN640,CN651,CN652,CN653,CN654,CN900,CN910,CN920
R06201,éRå`åß,éRå`és,03åé,4.0,9.1,-0.3,2.4,0.0,0.0,0.0,0.0,0.0,17.8,0.0,997.3,1016.3,69,5.5,1.9,0.0,0.0,0.0,140.4,14.2,3.7,72.1,11.5,2.2,0.1,0.0,0.0,19.6,35,11,2.7,0.9,0.1,22,8.7,6.3,3.1,0.5,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,04åé,10.2,16.4,4.7,0.0,0.0,0.0,1.5,0.1,0.0,1.9,0.0,995.9,1014.5,62,7.5,2.1,0.1,0.0,0.0,175.9,16.2,2.8,63.9,9.2,1.8,0.2,0.1,0.0,4.6,2,2,0.2,0.0,0.0,2,0.2,0.1,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,05åé,16.2,22.6,10.7,0.0,0.0,0.0,9.4,1.2,0.0,0.0,0.0,993.8,1011.9,64,11.5,2.0,0.0,0.0,0.0,196.5,17.2,3.4,74.5,8.7,2.8,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,06åé,20.3,25.9,15.7,0.0,1.0,0.0,19.0,3.7,0.0,0.0,0.0,991.3,1009.0,71,16.6,1.8,0.0,0.0,0.0,165.0,13.7,3.4,104.8,9.9,3.5,0.7,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,07åé,23.9,29.1,20.0,0.0,11.3,0.0,25.9,13.1,1.8,0.0,0.2,991.1,1008.6,76,22.4,1.7,0.0,0.0,0.0,144.5,12.4,4.1,187.2,12.7,5.6,1.8,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,08åé,25.0,30.5,20.9,0.0,16.2,0.0,28.0,18.2,3.7,0.0,0.7,992.5,1010.0,75,23.5,1.7,0.0,0.0,0.0,171.8,16.2,2.5,153.0,10.5,4.5,1.4,0.6,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,09åé,20.6,25.8,16.6,0.0,3.3,0.0,17.2,4.9,0.2,0.0,0.0,995.8,1013.6,77,18.6,1.6,0.2,0.0,0.0,136.6,13.6,4.6,123.8,10.1,3.8,0.8,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,10åé,14.1,19.5,9.8,0.0,0.0,0.0,1.6,0.1,0.0,0.0,0.0,999.3,1017.6,77,12.4,1.5,0.0,0.0,0.0,132.1,14.1,4.1,105.1,9.6,2.7,0.9,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,11åé,7.7,12.6,3.6,0.1,0.0,0.0,0.0,0.0,0.0,3.3,0.0,1000.4,1019.2,78,8.2,1.6,0.0,0.0,0.0,102.2,11.4,3.6,74.4,11.4,2.4,0.2,0.0,0.0,6.1,4,2,0.3,0.1,0.0,3,0.5,0.1,0.0,0.0,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,12åé,2.4,6.1,-0.7,5.6,0.0,1.0,0.0,0.0,0.0,19.4,0.0,998.6,1017.7,81,5.9,1.6,0.1,0.0,0.0,73.8,7.9,5.3,97.2,15.2,3.1,0.2,0.1,0.0,23.7,66,17,4.7,2.5,0.4,26,10.2,7.1,3.7,0.2,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,îN,12.1,17.1,7.9,36.4,31.8,6.9,102.6,41.3,5.8,95.6,0.9,995.9,1014.4,74,11.8,1.7,0.4,0.0,0.0,1617.9,156.2,45.1,1206.7,136.7,36.0,6.8,2.4,0.3,105.7,285,25,20.8,10.0,1.7,51,68.0,56.2,37.5,6.5,38.26,140.35,152.5
R07201,ïüìáåß,ïüìáés,01åé,1.9,5.8,-1.5,5.9,0.0,0.5,0.0,0.0,0.0,22.8,0.0,1007.4,1016.1,68,4.8,2.5,0.6,0.0,0.0,132.2,17.4,2.6,56.2,8.0,1.7,0.3,0.1,0.0,25.4,49,16,3.3,1.5,0.3,20,10.2,6.7,1.6,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,02åé,2.5,7.1,-1.2,3.9,0.0,0.4,0.0,0.0,0.0,20.1,0.0,1007.8,1016.5,65,4.7,2.7,1.4,0.0,0.0,144.8,17.6,2.5,41.1,6.8,1.2,0.1,0.1,0.0,21.3,34,13,2.2,1.0,0.2,15,6.1,2.9,0.7,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,03åé,5.9,11.2,1.3,0.4,0.0,0.0,0.0,0.0,0.0,10.1,0.0,1007.3,1015.9,61,5.6,2.8,1.5,0.0,0.0,175.1,19.1,4.1,75.7,7.8,2.6,0.5,0.1,0.0,15.9,14,7,0.9,0.4,0.1,7,1.5,0.6,0.1,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,04åé,11.7,17.7,6.4,0.0,0.0,0.0,2.3,0.2,0.0,0.6,0.0,1005.9,1014.3,58,7.9,2.9,1.8,0.0,0.0,189.7,18.3,3.1,81.8,7.1,2.9,0.6,0.1,0.0,2.8,1,1,0.2,0.0,0.0,1,0.2,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,05åé,17.2,23.1,12.1,0.0,0.2,0.0,11.3,1.9,0.1,0.0,0.0,1003.8,1012.0,63,12.0,2.6,0.7,0.0,0.0,193.2,16.9,4.5,88.5,8.2,2.7,0.7,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,06åé,20.7,25.9,16.6,0.0,2.1,0.0,18.1,5.3,0.2,0.0,0.0,1001.2,1009.3,72,17.3,2.3,0.2,0.0,0.0,141.4,11.5,5.8,121.2,10.1,3.9,0.9,0.2,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,07åé,24.3,29.1,20.8,0.0,14.0,0.0,24.4,14.7,3.3,0.0,1.5,1001.0,1008.9,77,23.0,2.1,0.1,0.0,0.0,125.2,10.1,6.7,177.7,13.2,5.2,1.5,0.7,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,08åé,25.5,30.5,21.9,0.0,18.5,0.0,27.0,18.7,5.4,0.0,3.5,1002.4,1010.3,76,24.4,2.1,0.1,0.0,0.0,148.7,13.9,5.2,151.3,11.0,4.4,1.4,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,09åé,21.6,26.2,18.0,0.0,5.2,0.0,18.4,6.1,0.2,0.0,0.3,1005.7,1013.8,76,19.5,2.0,0.3,0.0,0.0,122.9,12.3,6.3,167.6,10.5,4.4,1.7,0.5,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,10åé,15.6,20.5,11.7,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,1009.2,1017.5,73,13.0,2.0,0.7,0.0,0.0,133.7,15.0,5.1,138.7,8.2,3.5,1.4,0.7,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,11åé,9.5,14.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1010.3,1018.8,70,8.5,2.2,0.7,0.0,0.0,128.3,15.8,3.8,58.4,6.1,1.9,0.5,0.1,0.0,3.3,1,1,0.1,0.0,0.0,0,0.1,0.0,0.0,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,12åé,4.3,8.6,0.7,1.4,0.0,0.1,0.0,0.0,0.0,12.4,0.0,1008.6,1017.3,70,5.8,2.4,0.9,0.0,0.0,118.7,15.8,2.5,48.9,8.1,1.4,0.2,0.1,0.0,18.3,24,10,1.7,0.6,0.1,12,3.4,1.7,0.4,0.0,37.76,140.47,67.4
R07201,ïüìáåß,ïüìáés,îN,13.4,18.3,9.3,11.6,40.0,1.0,104.6,47.1,9.2,67.3,5.3,1005.9,1014.2,69,12.2,2.4,9.0,0.0,0.0,1753.8,183.5,52.0,1207.0,105.0,35.8,9.8,3.1,0.5,87.0,122,21,8.2,3.4,0.7,26,21.2,11.8,2.7,0.1,37.76,140.47,67.4
R08201,àÔèÈåß,êÖåÀés,01åé,3.3,9.2,-1.8,1.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,1011.8,1015.7,63,4.9,2.1,0.6,0.0,0.0,195.4,23.6,2.9,54.5,4.6,1.8,0.4,0.1,0.0,6.2,4,3,0.3,0.1,0.0,3,0.6,0.2,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,02åé,4.1,9.8,-1.2,0.6,0.0,0.0,0.0,0.0,0.0,19.4,0.0,1012.2,1016.1,63,5.2,2.3,0.6,0.0,0.0,174.3,19.8,3.3,53.8,5.2,1.9,0.3,0.1,0.0,6.9,6,5,0.4,0.2,0.0,5,0.6,0.3,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,03åé,7.4,13.0,2.1,0.0,0.0,0.0,0.1,0.0,0.0,8.3,0.0,1011.6,1015.5,66,6.8,2.6,0.8,0.0,0.0,182.7,18.7,5.1,102.8,9.2,3.8,0.7,0.1,0.0,5.5,1,1,0.1,0.0,0.0,1,0.2,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,04åé,12.3,17.8,7.0,0.0,0.0,0.0,1.3,0.0,0.0,0.8,0.0,1010.4,1014.2,70,10.0,2.7,1.3,0.1,0.0,183.5,17.2,4.9,116.7,10.2,4.1,0.8,0.3,0.0,0.2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,05åé,17.0,22.0,12.5,0.0,0.0,0.0,7.4,0.4,0.0,0.0,0.0,1008.6,1012.3,74,14.4,2.5,0.3,0.0,0.0,186.1,16.4,4.8,144.5,11.1,4.6,1.1,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,06åé,20.3,24.5,17.0,0.0,1.6,0.0,13.2,2.6,0.0,0.0,0.0,1005.8,1009.5,81,19.3,2.3,0.3,0.0,0.0,137.8,11.4,6.2,135.7,11.5,4.3,1.1,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,07åé,24.2,28.5,21.0,0.0,13.2,0.0,24.2,12.4,1.0,0.0,1.2,1005.5,1009.1,82,24.6,2.3,0.4,0.0,0.0,150.8,13.0,5.6,141.8,11.1,4.1,1.5,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,08åé,25.6,30.0,22.2,0.0,18.9,0.0,28.1,16.8,1.8,0.0,2.5,1006.8,1010.4,81,26.3,2.3,0.3,0.0,0.0,179.4,17.0,3.2,116.9,7.8,3.2,1.0,0.5,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,09åé,22.1,26.4,18.6,0.0,5.9,0.0,18.7,5.6,0.2,0.0,0.2,1009.8,1013.5,81,21.7,2.3,0.6,0.1,0.0,138.7,13.6,4.9,186.3,10.5,4.9,1.7,0.8,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,10åé,16.6,21.2,12.5,0.0,0.1,0.0,3.4,0.3,0.0,0.0,0.0,1013.2,1016.9,79,14.9,2.1,0.8,0.1,0.0,140.6,15.3,6.0,185.4,10.2,4.5,1.8,0.9,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,11åé,10.8,16.3,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1014.6,1018.4,75,9.9,1.9,0.1,0.0,0.0,153.7,18.1,4.6,79.7,6.8,3.0,0.7,0.1,0.0,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,12åé,5.6,11.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0,15.3,0.0,1013.1,1017.0,68,6.3,1.9,0.2,0.0,0.0,178.0,22.1,3.4,49.6,5.4,1.5,0.2,0.1,0.0,3.1,1,1,0.1,0.0,0.0,1,0.1,0.0,0.0,0.0,36.38,140.47,29.0
R08201,àÔèÈåß,êÖåÀés,îN,14.1,19.2,9.7,1.7,39.7,0.0,96.4,38.0,3.1,69.0,3.9,1010.3,1014.0,74,13.7,2.3,6.3,0.3,0.0,2000.8,206.2,54.8,1367.7,103.5,41.6,11.4,4.1,0.8,21.9,12,7,0.9,0.4,0.0,7,1.5,0.6,0.0,0.0,36.38,140.47,29.0
R09201,ì»ñÿåß,âFìsã{és,01åé,2.8,8.6,-2.2,2.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,998.4,1015.9,61,4.5,2.9,4.1,0.2,0.0,211.7,25.0,2.4,37.5,3.7,1.4,0.3,0.0,0.0,6.7,7,4,0.5,0.3,0.1,5,1.4,0.6,0.2,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,02åé,3.8,9.7,-1.3,1.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,998.7,1016.1,59,4.7,3.0,4.7,0.4,0.0,193.3,21.3,2.8,38.5,4.7,1.3,0.2,0.1,0.0,7.1,8,5,0.5,0.2,0.1,6,0.9,0.4,0.1,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,03åé,7.4,13.4,2.1,0.0,0.0,0.0,0.1,0.0,0.0,8.9,0.0,998.2,1015.4,60,6.1,3.3,5.6,0.4,0.0,194.2,19.8,4.7,87.7,8.2,3.4,0.6,0.0,0.0,5.9,2,1,0.1,0.0,0.0,2,0.2,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,04åé,12.8,18.8,7.4,0.0,0.0,0.0,2.2,0.0,0.0,0.7,0.0,997.2,1014.0,64,9.3,3.3,4.3,0.3,0.0,184.9,17.5,4.8,121.5,9.8,4.1,1.0,0.3,0.0,0.6,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,05åé,17.8,23.3,13.0,0.0,0.2,0.0,11.6,0.9,0.0,0.0,0.0,995.5,1011.9,69,13.8,3.1,2.7,0.1,0.0,175.4,15.2,5.5,149.2,11.3,4.8,1.2,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,06åé,21.2,25.9,17.4,0.0,2.4,0.0,18.3,4.0,0.0,0.0,0.0,992.9,1009.1,76,19.1,2.8,1.3,0.1,0.0,118.5,9.8,6.8,175.2,13.1,5.4,1.5,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,07åé,24.8,29.5,21.4,0.0,15.9,0.0,25.7,15.8,2.4,0.0,1.2,992.8,1008.8,79,24.6,2.7,1.8,0.2,0.0,118.9,10.0,6.4,215.4,13.7,6.2,2.0,0.6,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,08åé,26.0,30.9,22.5,0.0,21.1,0.0,28.3,20.8,3.3,0.0,3.3,994.2,1010.1,78,25.9,2.8,2.1,0.0,0.0,140.9,13.0,4.2,198.5,11.9,5.1,1.9,0.9,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,09åé,22.4,27.0,18.8,0.0,6.8,0.0,20.6,7.7,0.3,0.0,0.2,997.1,1013.3,77,20.9,3.0,2.3,0.4,0.0,119.8,11.4,5.7,217.2,12.3,6.4,2.0,1.0,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,10åé,16.7,21.4,12.6,0.0,0.1,0.0,4.4,0.3,0.0,0.0,0.0,1000.4,1017.0,74,14.1,2.8,1.7,0.4,0.0,140.3,14.8,6.3,174.4,9.7,4.7,1.5,0.8,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,11åé,10.6,15.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1001.5,1018.5,71,9.2,2.6,1.6,0.1,0.0,165.9,19.3,4.4,71.1,6.2,2.5,0.6,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,12åé,5.1,10.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,16.4,0.0,999.8,1017.1,66,5.9,2.7,3.2,0.1,0.0,197.4,23.5,2.8,38.5,4.1,1.2,0.2,0.1,0.0,3.1,1,1,0.1,0.0,0.0,1,0.1,0.1,0.0,0.0,36.55,139.87,119.4
R09201,ì»ñÿåß,âFìsã{és,îN,14.3,19.6,9.8,3.3,46.4,0.0,111.3,49.6,5.9,72.9,4.7,997.2,1013.9,70,13.2,2.9,35.3,2.5,0.1,1961.1,200.6,56.9,1524.7,108.7,46.5,13.0,4.6,1.0,23.6,18,9,1.2,0.6,0.1,9,2.7,1.1,0.3,0.0,36.55,139.87,119.4
R10201,åQînåß,ëOã¥és,01åé,3.7,9.1,-0.5,0.7,0.0,0.0,0.0,0.0,0.0,18.6,0.0,1002.1,1016.3,54,4.2,2.8,1.2,0.0,0.0,213.1,26.0,2.1,29.7,2.9,1.0,0.2,0.0,0.0,7.6,8,4,0.4,0.2,0.2,5,1.4,0.8,0.4,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,02åé,4.5,10.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,15.2,0.0,1002.4,1016.6,52,4.3,3.0,1.9,0.0,0.0,201.2,22.8,2.1,26.5,3.6,0.8,0.1,0.0,0.0,7.9,9,5,0.4,0.2,0.1,7,1.0,0.6,0.3,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,03åé,7.9,13.5,3.1,0.0,0.0,0.0,0.2,0.0,0.0,4.6,0.0,1001.6,1015.6,52,5.5,2.9,2.2,0.0,0.0,211.0,22.1,4.0,58.3,7.1,2.2,0.2,0.0,0.0,5.6,2,1,0.1,0.0,0.0,1,0.2,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,04åé,13.4,19.3,8.2,0.0,0.0,0.0,3.0,0.1,0.0,0.1,0.0,1000.3,1013.9,55,8.4,2.8,1.4,0.0,0.0,205.2,19.8,4.3,74.8,7.9,2.5,0.5,0.1,0.0,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,05åé,18.6,24.2,13.6,0.0,0.4,0.0,14.7,2.2,0.1,0.0,0.0,998.4,1011.7,60,12.6,2.3,0.5,0.0,0.0,197.4,17.7,5.3,99.4,9.5,3.3,0.8,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,06åé,22.1,26.8,18.0,0.0,4.4,0.0,20.7,6.9,0.5,0.0,0.0,995.7,1008.9,70,18.1,2.1,0.1,0.0,0.0,138.5,11.6,7.0,147.8,12.6,4.8,1.1,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,07åé,25.8,30.5,22.0,0.0,18.8,0.0,26.4,17.7,5.8,0.0,3.3,995.6,1008.5,73,23.9,1.8,0.2,0.0,0.0,146.3,12.5,6.1,202.1,14.7,6.3,1.9,0.6,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,08åé,26.8,31.7,23.0,0.0,24.0,0.0,28.8,22.1,6.7,0.0,5.7,997.0,1009.9,72,24.9,2.1,0.2,0.0,0.0,167.7,15.5,3.7,195.6,12.5,5.6,2.2,0.8,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,09åé,22.9,27.3,19.3,0.0,8.4,0.0,21.1,8.8,0.5,0.0,0.3,999.9,1013.1,72,20.1,1.8,0.4,0.0,0.0,134.9,13.7,6.7,204.3,12.0,5.5,1.9,0.9,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,10åé,17.1,21.7,13.2,0.0,0.1,0.0,5.4,0.4,0.0,0.0,0.0,1003.5,1017.0,68,13.3,2.0,0.4,0.0,0.0,155.6,16.5,6.1,142.2,8.8,3.6,1.3,0.7,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,11åé,11.2,16.4,6.9,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,1004.8,1018.7,62,8.3,2.6,0.4,0.0,0.0,181.0,21.2,3.7,43.0,5.3,1.6,0.2,0.0,0.0,0.2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,12åé,6.1,11.5,1.9,0.1,0.0,0.0,0.0,0.0,0.0,7.7,0.0,1003.4,1017.5,57,5.4,2.7,1.0,0.0,0.0,202.0,24.9,1.9,23.8,3.3,0.7,0.0,0.0,0.0,4.2,1,1,0.1,0.0,0.0,1,0.2,0.1,0.0,0.0,36.41,139.06,112.1
R10201,åQînåß,ëOã¥és,îN,15.0,20.2,10.7,1.4,56.1,0.0,120.5,58.2,13.5,46.2,9.3,1000.4,1014.0,62,12.4,2.4,9.8,0.0,0.0,2153.7,224.3,53.0,1247.4,100.2,37.7,10.5,3.7,0.4,26.1,19,10,1.1,0.5,0.3,11,2.8,1.5,0.7,0.0,36.41,139.06,112.1
R11202,çÈã åß,åFíJés,01åé,4.3,9.8,-0.4,0.3,0.0,0.0,0.0,0.0,0.0,18.4,0.0,1012.1,1016.1,53,4.4,2.9,1.3,0.0,0.0,217.0,25.4,2.5,36.5,3.1,1.2,0.3,0.1,0.0,6.0,7,4,0.4,0.2,0.1,4,0.9,0.5,0.1,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,02åé,5.1,10.8,0.3,0.2,0.0,0.0,0.0,0.0,0.0,13.6,0.0,1012.4,1016.3,52,4.5,3.1,3.1,0.0,0.0,199.8,21.8,2.6,32.3,3.8,0.9,0.2,0.0,0.0,5.5,7,5,0.4,0.2,0.1,5,1.0,0.6,0.3,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,03åé,8.6,14.3,3.6,0.0,0.0,0.0,0.4,0.0,0.0,3.4,0.0,1011.5,1015.4,55,6.1,3.0,2.4,0.1,0.0,203.2,21.0,4.8,69.0,7.6,2.5,0.3,0.0,0.0,3.4,1,1,0.1,0.0,0.0,1,0.1,0.1,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,04åé,13.9,19.9,8.6,0.0,0.0,0.0,4.1,0.2,0.0,0.0,0.0,1010.1,1013.9,60,9.3,2.7,1.3,0.0,0.0,197.1,18.4,4.6,90.7,8.4,3.0,0.7,0.2,0.0,0.2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,05åé,18.8,24.6,13.9,0.0,0.3,0.0,16.2,2.5,0.1,0.0,0.0,1008.1,1011.8,64,13.7,2.5,0.3,0.0,0.0,192.0,16.9,5.3,115.1,9.6,3.7,0.9,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,06åé,22.3,27.1,18.3,0.0,4.9,0.0,21.4,7.6,0.5,0.0,0.1,1005.3,1009.0,73,19.2,2.2,0.2,0.0,0.0,133.9,11.2,7.0,149.5,11.7,4.6,1.4,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,07åé,26.0,30.9,22.3,0.0,19.7,0.0,26.6,18.5,6.9,0.0,4.3,1005.0,1008.6,76,25.0,2.1,0.1,0.0,0.0,146.0,13.1,6.3,169.8,12.1,4.7,1.6,0.5,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,08åé,27.1,32.3,23.3,0.0,24.9,0.0,29.0,23.1,9.6,0.0,7.1,1006.4,1010.0,74,26.2,2.1,0.2,0.0,0.0,169.3,16.3,3.9,183.3,9.9,4.1,1.6,0.9,0.3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,09åé,23.3,27.9,19.7,0.0,9.3,0.0,22.2,10.1,0.9,0.0,0.6,1009.5,1013.2,75,21.3,2.0,0.4,0.0,0.0,131.6,13.2,6.7,198.2,11.4,5.9,2.1,0.7,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,10åé,17.6,22.1,13.7,0.0,0.2,0.0,6.2,0.6,0.0,0.0,0.0,1013.2,1017.0,71,14.2,2.0,0.4,0.0,0.0,144.1,15.3,6.5,177.1,9.3,4.0,1.6,0.8,0.4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
R11202,çÈã åß,åFíJés,11åé,11.7,16.8,7.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,1014.7,1018.5,65,8.9,2.2,0.3,0.0,0.0,171.6,19.6,4.8,53.5,5.4,1.8,0.3,0.1,0.0,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.15,139.38,30.0
